Country,State,District,Year,District And Taluk Court Case Type,Date Of Extraction,Pending Cases For A Period Of 0 To 1 Years (UOM:Number),Pending Cases For A Period Of 1 To 3 Years (UOM:Number),Pending Cases For A Period Of 3 To 5 Years (UOM:Number),Pending Cases For A Period Of 5 To 10 Years (UOM:Number),Pending Cases For A Period Of 10 To 20 Years (UOM:Number),Pending Cases For A Period Of 20 To 30 Years (UOM:Number),Pending Cases Over 30 Years (UOM:Number),Pending Cases (UOM:Number),Original Pending Cases (UOM:Number),Pending Appeal Cases (UOM:Number),Pending Application Cases (UOM:Number),Pending Execution Cases (UOM:Number),Cases Pending At Appearance Or Service-Related Stage (UOM:Number),Cases Pending At Compliance Or Steps Or Stay Stage (UOM:Number),Cases Pending At Evidence Or Argument Or Judgement Stage (UOM:Number),Cases Pending At Pleadings Or Issues Or Charge Stage (UOM:Number),Cases Instituted In Last Month (UOM:Number),Cases Disposed In Last Month (UOM:Number),Cases Filed By Senior Citizens (UOM:Number),Cases Filed By Women (UOM:Number),Cases Delayed In Disposal (UOM:Number)
India,Madhya Pradesh,Barwani,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,6419,6694,3234,833,34,2,0,17216,15091,249,1218,658,0,359,6655,10189,1680,1271,618,1480,7783
India,Jharkhand,Jamtara,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1943,1644,1442,1502,52,0,0,6583,6206,44,328,5,2337,247,3781,118,617,539,348,447,169
India,Delhi,Shahdara,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,25192,18772,17471,12971,683,1,0,75090,67282,655,2761,4384,26722,130,34846,5397,1717,2259,3429,9136,57862
India,Haryana,Hisar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,23872,26185,13956,4099,35,1,1,68149,56222,3395,2845,5686,33559,2264,28172,4127,2953,2626,4732,7560,29047
India,Jharkhand,Chatra,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4832,4062,4307,3590,566,29,0,17386,16561,179,646,0,6819,272,5538,1837,860,889,457,1173,6710
India,Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,4114,3303,2243,747,8,0,0,10415,7071,1022,340,1979,4127,750,4455,1076,377,334,1718,1834,627
India,Haryana,Panipat,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,22901.11711897239398288422,17443.88817025437713072088,10686.77780065952578976854,3025.81836534858940665763,81.01067212108489600899,1.00050819624213790519,0.00000000000000000000,54139.61263555221334394545,46441.40096550642918055857,1327.70198840913982636912,3241.59475900204872837403,3125.91543083083774654892,28633.62066305991268315189,1766.23122929017274686145,18759.82413752786775466694,4973.93016852185974579943,3720.90404192054335144520,2755.16156721077987196261,2986.73519056362616950820,5631.83869319827492286523,16508.83022326090595777873
India,Gujarat,Navsari,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1016,1096,814,1112,335,13,3,4389,3245,349,496,299,1254,144,2565,366,118,180,1304,595,713
India,Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8313,6141,3734,2279,1123,361,37,21988,19427,435,2126,0,10934,297,9865,739,1450,1286,720,1556,10250
India,Karnataka,Chitradurga,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,8173,6140,3307,2289,249,6,2,20166,15797,866,245,3257,5273,2146,10368,682,846,649,5578,3630,5596
India,Madhya Pradesh,Indore,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,13772,12083,11187,12272,1366,31,5,50716,33699,1638,0,15381,0,6199,6700,33951,1660,1220,6485,8634,32572
India,Jharkhand,Pakur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,313,276,204,193,116,7,0,1109,894,67,106,42,445,144,443,77,35,51,153,359,606
India,Gujarat,Narmada,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4657,1041,547,268,50,2,0,6565,5828,73,663,0,3525,123,2571,280,672,454,172,505,255
India,Madhya Pradesh,Ratlam,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,12677,14129,9477,5948,155,1,2,42389,37405,1047,2685,1252,0,2345,20100,19934,3101,1951,2358,3587,44430
India,Jammu And Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,2235,3532,2993,3412,1017,22,0,13211,10082,193,975,287,3264,506,3440,707,239,85,445,717,35
India,Kerala,Thrissur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,54792,57155,46508,38051,1774,65,12,198357,152169,4735,9361,32093,72064,45023,17651,13264,9125,7102,15497,18603,458
India,Madhya Pradesh,Sehore,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6734,8427,4701,693,3,1,0,20559,18457,337,1765,0,283,251,8148,11843,1986,1367,278,1314,7246
India,Karnataka,Gadag,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7087,6118,3459,1684,174,9,0,18531,14115,791,1478,2147,6575,1689,8014,851,1050,895,2834,1809,3281
India,Madhya Pradesh,Rewa,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,12450,18291,13026,14530,1182,57,0,59536,54927,501,4108,0,0,547,19503,39479,3529,1995,720,2553,27635
India,Karnataka,Kodagu,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1870,1762,1203,856,60,7,1,5759,3947,506,61,1245,2224,538,2358,160,178,201,1707,737,3061
India,Chhattisgarh,Raipur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,4089.05352091640145888720,2794.96991621259011595968,2259.16290312699268341584,1537.70346006875403520988,164.50215314031500121960,21.93362041870866682928,1.56668717276490477352,10868.89226105652686629500,7385.36333241376110237328,307.85402944830378799668,0.00000000000000000000,3176.45824278084442831180,5173.20104446971556216304,361.12139332231055029636,3801.56642471404143294628,1266.66657918042550939092,498.98986452562217036612,365.03811125422281223016,1168.74863088261896104592,2139.31133441047746824156,3477.26217995170614482764
India,Madhya Pradesh,Khargone,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1963,1415,1047,362,14,0,0,4801,3306,386,0,1109,0,491,1415,2892,220,240,819,1055,1879
India,Karnataka,Chamarajanagara,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,3635,3410,2125,1746,280,0,0,11196,8702,500,56,1938,1939,1589,5430,667,459,348,3007,2692,1502
India,Gujarat,Porbandar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,4337,4108,2465,1234,483,107,14,12748,11051,442,706,549,4892,148,6359,1183,607,810,814,534,5058
India,Madhya Pradesh,Gwalior,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,29149,30032,21642,16054,564,29,10,97480,84049,1983,8333,3121,0,4880,32653,59843,5326,3967,4487,12752,37289
India,Haryana,Yamunanagar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,17355,19930,13888,3808,71,2,0,55054,44863,3367,2900,3922,26714,1017,22590,4732,2008,1564,5717,6411,29978
India,Gujarat,Gir Somnath,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,8876,7487,4470,2790,1440,326,100,25489,20720,219,1885,2665,15419,370,8512,804,1119,806,969,1470,2156
India,Madhya Pradesh,Narsinghpur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,6858,6611,4352,2166,114,14,0,20115,17374,574,1670,497,0,688,11187,8217,1562,1319,814,1449,5914
India,Chhattisgarh,Raipur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,14849.06102346576744342256,15734.23927607793864046136,14533.37355815363913155828,7137.82675911690614815712,285.92040902959512116740,7.05009227744207148084,6.26674869105961909408,52553.73786681234817534164,49858.25258607032951250048,502.90658245753443229992,2194.14538545724913531476,0.00000000000000000000,19585.15634673407457377352,567.14075654089552801424,16532.46639060165762256980,15048.03029440691034965960,3229.72560665485119061148,1960.70899671527832406028,824.07745287433991087152,2218.42903663510515930432,18684.31122239425432899952
India,Jammu And Kashmir,Reasi,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,546,414,274,248,46,5,0,1533,1154,28,299,52,575,288,514,154,60,41,240,101,6
India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,377,404,279,274,44,0,0,1378,770,43,73,47,88,96,100,63,28,32,168,80,13
India,Haryana,Faridabad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,10424,11666,9214,2513,57,2,1,33877,23214,1158,2288,7217,18633,1465,9574,4204,900,758,3854,4231,17237
India,Jharkhand,Ranchi,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,15348,14825,10411,10185,1907,106,19,52801,47977,440,4384,0,25420,2727,23343,1210,2470,2018,10968,4303,15601
India,Gujarat,Kachchh,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,7545,5889,5255,3534,1243,60,1,23527,15378,923,1238,5988,11711,999,8755,1493,969,1224,2853,2126,441
India,Maharashtra,Ahmednagar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,48822,58598,42450,40481,9330,928,260,200869,149742,6847,19633,24647,91906,42092,50895,15785,5112,2772,21123,21255,122235
India,Karnataka,Davangere,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6209,6162,3567,2123,107,3,0,18171,15131,280,2760,0,5566,473,7784,1298,1284,1356,947,1225,5629
India,Kerala,Palakkad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,12088,11621,6000,2686,657,52,31,33135,24438,1112,998,6333,5484,11292,3818,7036,1674,989,6981,8826,838
India,Chhattisgarh,Surajpur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3062,3505,2315,1160,30,0,0,10072,9267,46,759,0,1645,445,6339,1625,484,336,49,625,3774
India,Bihar,Patna,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,36619,73427,107642,99656,62835,9027,921,390127,379706,3586,6833,0,166284,45659,120983,56187,4895,3546,59074,16393,282276
India,Karnataka,Yadgir,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3166,3127,2221,1163,35,0,0,9712,7903,141,1668,0,4801,352,2952,1450,504,378,158,557,9279
India,Haryana,Jhajjar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,12961,13697,11155,4917,38,0,1,42769,34832,1351,3167,3286,20090,2334,15665,4176,2269,2349,4220,4321,22612
India,Ladakh,Kargil,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,153,28,12,5,0,0,0,198,93,1,84,11,25,43,86,7,75,51,3,36,0
India,Chhattisgarh,Bilaspur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,3812.04487334358858301693,3309.13002045952897208642,2306.61441586362760598112,983.45952285564869550991,48.88299229021337239687,10.77082880970803120609,0.00000000000000000000,10470.90265362231526019734,8786.51073284259007235265,505.40042876322300274730,0.00000000000000000000,1178.99149201650218509739,3620.65553064800741312410,380.29310951199894796887,4131.02711116955719950498,2212.99105774847318088203,391.06393832170697917496,373.66490716756323645743,1600.71086618122433001276,2492.20408150782752830144,2705.96360711587922454538
India,Kerala,Thrissur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,26329,29236,21709,15230,968,51,11,93534,56861,2682,1899,32093,24742,32971,8886,10173,3388,3314,12215,12790,129
India,Jharkhand,Bokaro,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,5155,4139,3210,4040,570,3,1,17118,15665,330,1123,0,7721,354,8220,601,1076,1123,885,1820,8409
India,Karnataka,Ramanagara,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6873,6421,4181,4385,1192,8,0,23060,20399,155,2506,0,11486,1481,7226,1627,1084,733,1199,585,22753
India,Maharashtra,Ahmednagar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,16687,18554,17960,20925,5400,466,73,80065,47257,4817,3344,24647,25947,25184,23161,5584,1689,1023,16871,11171,63740
India,Bihar,Nalanda,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7423,21674,20838,32150,18532,2083,261,102961,100681,1448,832,0,63754,2871,33724,2259,2017,1420,1090,3898,79120
India,Kerala,Kottayam,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,34948,36178,18724,5737,93,0,0,95680,91940,573,3080,0,76518,9856,3628,1886,5362,3464,739,1921,405
India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,949,997,960,1111,98,0,0,4115,2086,61,225,47,414,209,985,163,171,169,185,225,17
India,Chhattisgarh,Mungeli,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1976,2483,2173,456,2,1,0,7091,6528,104,457,0,2225,219,3001,1642,496,366,47,423,2200
India,Madhya Pradesh,Sagar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,18748.63673438841467874100,19840.32698916693084341500,14628.45056334818609366900,10417.78733111957411061400,457.35657304017981398000,24.85633549131412032500,3.97701367861025925200,64121.39154023320991999600,56859.36456309087652584400,1203.04663777960342373000,4292.19201264012229772100,1767.78258014226023751400,0.00000000000000000000,1989.50109272478219081300,24431.78928112247514984900,37335.21016137346129296300,4714.74971599246234324600,3404.32370889038191971200,2916.14527984097259652900,4314.06558787247872360700,35989.98528458354110097400
India,Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,552,496,414,404,160,25,10,2061,1596,130,241,94,653,476,821,108,54,9,234,474,1233
India,Bihar,Vaishali,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8753.00064509820604285680,16867.12130436825456491328,16337.00451644936931493392,19114.84860357826323820016,16507.11403075899359602432,2344.95148988478393654928,165.42814406008048489072,80089.46873419795117836848,78229.07883531836485392000,683.96721021693331995856,1101.90315577470834069008,0.00000000000000000000,43336.06094501807671848496,3335.87312289755764295824,32190.59373492813123434912,1195.22976290101171210000,1269.20330828709917877152,1180.88327074949490588448,2661.82912948568656608688,7735.95102053774268963856,50591.36508571043979708032
India,Haryana,Karnal,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,33021.40526757030380176329,17996.95082254717256886000,9620.37004525271635875394,2811.52365072236940353524,33.99424044258910374118,0.99983060125262069827,0.00000000000000000000,63485.24385713640385735192,59173.97430453510340641168,2134.63833367434519080645,2175.63138832570263943552,0.99983060125262069827,43125.69332382928857847991,229.96103828810276060210,17172.09057651376049278725,2921.50501686015768034494,10568.20945524020078071390,6249.94108843013198488577,859.85431707725380051220,1720.70846475576022172267,2334.60445392486933046045
India,Gujarat,Vadodara,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,28026,23953,18276,11032,5875,2473,532,90167,81194,908,8070,0,54207,1050,30600,2831,5165,3261,2081,6705,18346
India,Jammu And Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,355,334,244,258,18,0,0,1209,1057,24,69,59,469,107,385,149,39,38,293,169,0
India,Karnataka,Tumakuru,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,27055,24349,18167,15703,2456,77,8,87815,67936,6830,5079,7970,32212,8442,34967,5600,3941,3515,17804,15297,38299
India,Chhattisgarh,Dhamtari,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3132,3518,2240,845,28,4,1,9768,8635,303,253,577,1826,458,5259,2116,491,396,595,1032,3589
India,Bihar,Nawada,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9585,16784,15015,25219,8370,1205,114,76292,72987,691,2442,131,43355,2082,29583,1229,1807,1507,3718,14468,57383
India,Madhya Pradesh,Agar Malwa,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3821.53413839401698047997,4030.37971389870038696336,2853.97109238497740107591,1619.40294351551979566144,65.71271272660924543962,1.51063707417492518252,0.00000000000000000000,12392.51123799399873480282,10331.62460955085705454991,325.91994875324010812869,1127.31291660303791745555,607.65376308686365466867,0.00000000000000000000,424.11135857461024499249,4920.14495058773131946764,5553.85720320411243353478,742.10046268843199591295,472.45174494820785083313,659.77074214589857346561,1273.84471279800566015999,4462.42191711272898916408
India,Jammu And Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3046,3142,2240,1538,106,0,0,10072,8496,136,1192,248,2872,1081,4050,452,916,698,1069,831,53
India,Maharashtra,Jalgaon,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,28477,34141,23310,20072,3996,512,206,110714,79813,3346,15822,11733,47213,21225,35166,6943,3528,3066,11380,11019,32619
India,Madhya Pradesh,Neemuch,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1552,1306,968,806,67,0,1,4700,3437,321,0,851,0,624,1200,2748,158,152,1304,789,1281
India,Himachal Pradesh,Chamba,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1980,1466,866,723,72,2,0,5109,3369,66,1291,383,867,2350,1339,528,326,259,1445,1032,1717
India,Kerala,Kasaragod,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8982,5120,3528,1769,69,4,0,19472,18635,417,420,0,11695,1960,3286,1332,1444,590,305,1043,93
India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,20397,14435,9681,3112,89,4,0,47718,39268,2923,2388,3138,23712,1381,19067,3554,2448,2166,3806,4765,18068
India,Madhya Pradesh,Datia,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1361.65735059818661105070,1081.34902928652124793747,619.17444917586396686153,309.92758263086237362789,52.19585064163842298893,3.02061585701457084094,0.00000000000000000000,3427.32487819008719330746,2788.85189189189189189553,219.47377190695518669839,0.00000000000000000000,418.99921439124011471354,0.00000000000000000000,550.55610440022015584774,710.21502621592653747136,2165.55374757394049998836,133.55649720460009849097,151.86573505981866110507,485.50417195330378610216,725.53496480403232814916,1254.31745082703282060401
India,Maharashtra,Akola,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,22902,27296,18563,16200,3534,610,274,89379,70930,2003,9383,7064,51290,14438,17481,6163,2908,1750,5683,6920,25777
India,Gujarat,Ahmadabad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,19255,17906,17750,20606,11305,1497,58,88377,68619,2067,5675,12015,31646,3064,42317,8592,2352,3680,9541,6806,665
India,Madhya Pradesh,Satna,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5182.35104756131821534918,5146.32813946633120347612,4105.64891922450431300020,3106.55801617253658057304,350.06910555603992897703,26.02512929310542871892,0.00000000000000000000,17916.98035727383567009449,13652.42789409659513163610,1758.35587122863394239875,0.00000000000000000000,2506.19659194860659605964,0.00000000000000000000,2491.84589244418980241769,3205.35031823333790028410,12113.77786427303161021297,519.16851212940243542978,509.39467576735129390006,4331.26975862980446537054,3708.44455308248325798005,7905.91350613009162961394
India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3270,2660,1581,1583,204,4,0,9302,6258,176,1520,198,2529,1079,3560,492,738,527,417,697,169
India,Madhya Pradesh,Harda,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3096,2660,2717,1494,24,0,0,9991,8944,35,1012,0,789,106,4423,4620,668,555,121,485,4720
India,Madhya Pradesh,East Nimar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7168,8318,4764,1084,64,2,0,21400,18058,619,2011,712,0,835,10716,9848,1591,1045,1038,2329,8044
India,Madhya Pradesh,Agar Malwa,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3024.67308176674394670067,3386.84832030018225920984,2213.83863220335285498306,1223.23837081314566654557,33.23401563184835401544,0.37765926854373129563,0.00000000000000000000,9882.21007998381681275021,8598.16856693513040760821,156.72859644564848768645,1127.31291660303791745555,0.00000000000000000000,0.00000000000000000000,79.30844639418357208230,4397.84218219175093761135,4244.89017843153976288120,655.23883092337379791805,370.48374244140040101303,119.34032885981908941908,844.44612446378317702868,3205.57187139919123730744
India,Chhattisgarh,Durg,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,9913,12113,9485,6833,156,5,0,38505,35321,280,2904,0,14642,1809,15746,6166,2739,2025,798,3131,12520
India,Chhattisgarh,Baloda Bazar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,6327,6788,3857,724,17,0,0,17713,16599,371,412,310,3278,382,8948,5099,1478,905,627,731,5154
India,Maharashtra,Chandrapur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,17845,27641,24762,18860,2876,500,237,92721,77255,2300,7045,6121,46962,10307,29776,5649,2074,1313,5010,6390,40636
India,Chhattisgarh,Jashpur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,422,300,225,115,5,1,0,1068,779,80,0,209,163,126,460,283,42,42,270,226,426
India,Karnataka,Mysuru,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,17325,14525,11775,13959,1965,33,2,59584,44235,4372,2229,8747,14186,6900,27364,2310,1679,1312,13805,15528,22612
India,Maharashtra,Buldhana,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,24104,38066,25284,19222,3237,368,98,110379,91573,2975,9096,6735,52779,19567,27722,10225,2674,1524,6516,7817,52078
India,Gujarat,Sabar Kantha,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7822,6933,5392,3899,354,17,0,24417,19765,473,1541,0,13805,504,9348,601,1471,1277,1032,1079,12720
India,Jharkhand,Deoghar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1294,816,826,848,578,87,16,4465,3348,272,600,213,1196,274,2544,383,181,203,1285,816,1859
India,Madhya Pradesh,Umaria,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,2614,2775,1720,1667,43,0,0,8819,7853,166,800,0,0,47,4863,3908,950,588,67,531,3581
India,Haryana,Sirsa,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,9782,9351,6354,2167,28,1,1,27684,24516,758,2410,0,11931,605,13572,1575,1721,1506,765,1846,20314
India,Bihar,Supaul,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7630,10103,19421,10114,5350,584,32,53234,50369,745,1888,220,26880,3622,21315,1401,1036,942,2490,6808,35987
India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,14676,8813,5450,1667,16,0,0,30622,27755,1329,1537,0,16996,251,11757,1614,1912,1814,937,1766,10764
India,Madhya Pradesh,Katni,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9516,12560,9229,7389,139,5,2,38840,34605,665,2528,1042,188,1319,15695,21613,2723,1571,1665,3126,13691
India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,2525,3254,2615,2427,575,38,6,11440,10943,160,241,92,5958,503,4473,300,696,626,516,1566,8359
India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,276,244,288,492,156,19,0,1475,1203,93,87,92,674,139,571,91,33,38,174,142,1886
India,Haryana,Jind,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6943.79685523088823465414,7728.60187369954847726859,5654.54483746979354678688,1995.08294632095893122491,8.88458511473954991639,0.98717612385994999071,0.00000000000000000000,22331.89827395978868984162,19966.62428119134851210046,1000.00941347012934058923,1365.26457929831083715193,0.00000000000000000000,9189.62253701227446351939,279.37084305236584737093,11167.92348922761424490223,1693.00705241981423406765,1770.99396620475028333374,1703.86598978227368396546,537.02381137981279494624,1550.85369058398143540541,7955.65238218733697513189
India,Chhattisgarh,Korba,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,5100,5881,3290,1435,29,3,0,15738,14328,521,889,0,3518,588,6003,5629,2112,1499,162,404,6472
India,Jammu And Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,712,588,255,302,79,3,0,1939,1360,64,133,104,578,235,647,156,128,108,290,146,12
India,Madhya Pradesh,Raisen,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7874,8818,5434,2103,103,4,2,24338,21107,718,2002,510,0,437,11490,12390,1862,1377,622,1340,8097
India,Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,11129,8384,5379,3699,1894,403,40,30928,24820,1282,2702,2124,14153,979,14136,1265,1824,1770,1967,2141,14466
India,Madhya Pradesh,Datia,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,5247.80149474233075520495,5631.79874511167115670234,3157.49775614843138959607,1933.56575765476087019616,31.23708235566756467081,2.00000000000000000000,0.00000000000000000000,16003.90083601286173637033,14324.27584948292343793955,197.54540366733292778404,1482.07958286260537064674,0.00000000000000000000,0.00000000000000000000,152.41205527070478838998,7731.42255322846962720343,8120.01468787115089367457,1501.18226934329828220821,939.37890559369659048360,142.42223226441875959604,905.88491063410677558750,6743.57249442368413430964
India,Madhya Pradesh,Chhatarpur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,10465,12574,8644,4614,110,10,0,36417,30935,1365,3081,1036,318,1283,17931,16718,2832,1815,1537,3641,17223
India,Jammu And Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,423,440,289,318,44,0,0,1514,1247,66,35,70,598,159,323,294,59,40,205,182,5
India,Chhattisgarh,Baloda Bazar,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,5387,6151,3259,524,6,0,0,15327,14699,195,412,0,2458,224,7765,4874,1388,818,98,235,4342
India,Madhya Pradesh,Betul,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2593,2152,1284,388,10,1,0,6428,4949,498,0,981,177,878,1775,3592,236,272,1235,1735,2439
India,Jharkhand,Godda,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,528,401,307,192,159,23,2,1612,1366,71,87,88,651,4,370,584,75,35,239,182,596
India,Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,17044,17886,25731,34738,15411,2625,170,113605,100606,637,4852,1,57664,7827,40246,1865,2353,2479,3496,7733,89081
India,Himachal Pradesh,Solan,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5245,4743,3825,3033,447,10,0,17303,10650,410,4953,1290,3464,7895,4675,1207,676,574,3641,1841,3754
India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,11906,14458,21891,32120,15948,2758,448,99529,94160,1709,2630,1029,44863,7205,32899,10981,1546,2163,8641,16216,90330
India,Maharashtra,Gondia,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8672,6372,4164,2286,67,32,5,21598,18969,303,2326,0,9468,2410,8515,1205,986,521,435,1099,7225
India,Madhya Pradesh,Harda,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3863,3192,3146,1801,114,6,2,12124,10498,101,1012,513,861,426,4849,5921,741,668,684,859,5791
India,Haryana,Rewari,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,14412,16453,12346,4592,300,2,2,48107,39619,2028,3571,2886,19844,540,19952,5491,1886,1649,5224,6002,22129
India,Karnataka,Shivamogga,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,8197,7186,4138,3123,517,9,0,23170,16345,1694,210,4915,4697,2491,12667,1419,925,606,5827,3836,9226
India,Jharkhand,Palamu,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7802,8690,6648,8204,2317,183,44,33888,9342,546,23819,172,13209,3789,15547,1124,1515,1554,3433,5223,11204
