Country,State,District,Year,District And Taluk Court Case Type,Date Of Extraction,Pending Cases For A Period Of 0 To 1 Years (UOM:Number),Pending Cases For A Period Of 1 To 3 Years (UOM:Number),Pending Cases For A Period Of 3 To 5 Years (UOM:Number),Pending Cases For A Period Of 5 To 10 Years (UOM:Number),Pending Cases For A Period Of 10 To 20 Years (UOM:Number),Pending Cases For A Period Of 20 To 30 Years (UOM:Number),Pending Cases Over 30 Years (UOM:Number),Pending Cases (UOM:Number),Original Pending Cases (UOM:Number),Pending Appeal Cases (UOM:Number),Pending Application Cases (UOM:Number),Pending Execution Cases (UOM:Number),Cases Pending At Appearance Or Service-Related Stage (UOM:Number),Cases Pending At Compliance Or Steps Or Stay Stage (UOM:Number),Cases Pending At Evidence Or Argument Or Judgement Stage (UOM:Number),Cases Pending At Pleadings Or Issues Or Charge Stage (UOM:Number),Cases Instituted In Last Month (UOM:Number),Cases Disposed In Last Month (UOM:Number),Cases Filed By Senior Citizens (UOM:Number),Cases Filed By Women (UOM:Number),Cases Delayed In Disposal (UOM:Number)
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8960,8547,6919,3640,299,11,1,28377,26632,635,1110,0,14847,1610,10970,440,1622,778,755,1661,474
India,Assam,Jorhat,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,785.85556499575191163840,389.54047402806668033800,343.81180968564146134180,180.37417601734391937390,22.01750505376029062780,0.00000000000000000000,0.84682711745231887030,1722.44635689801658219020,1194.02623560776960712300,71.13347786599478510520,298.92997246066856121590,158.35667096358362874610,254.04813523569566109000,368.36979609175870858050,944.21223595933554038450,152.42888114141739665400,114.32166085606304749050,57.58424398675768318040,314.17286057481030088130,434.42231125303958046390,22.86433217121260949810
India,Assam,Chirang,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,2091,1513,405,233,4,0,0,4246,3998,26,222,0,2086,60,1481,127,133,555,30,233,1
India,Assam,Jorhat,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,6873.69571236047227022510,5467.11587027217062665680,2117.91462074824949462030,597.85994492133712243180,37.26039316790203029320,0.00000000000000000000,0.84682711745231887030,15094.69336858758386309750,14272.42423754138224003620,132.10503032256174376680,531.80742976005625054840,158.35667096358362874610,9944.29084024258049393290,776.54046670377640406510,4039.36535024756101133100,328.56892157149972167640,666.45294143497495092610,318.40699616207189523280,364.98248762194943309930,545.35666363929335247320,30.48577622828347933080
India,Assam,West Karbi Anglong,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,408.55486280569023389634,495.09038201289360115086,349.97108210346848526828,266.11586658852362938890,160.81822153551068250840,29.10044008737812350152,1.91450263732750812510,1711.56535777079226383940,1315.64621237146358356872,12.63571740636155362566,191.83316426021631413502,13.78441898875805850072,930.06538121370344717358,27.18593745005061537642,701.47376631679897703664,42.50195854867068037722,45.56516276839469337738,47.47966540572220150248,13.01861793382705525068,44.41646118599818850232,184.17515371090628163462
India,Assam,Karbi Anglong,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,68.49804145132931962278,22.83268048377643987426,8.02229314294847887474,5.55389525281048537482,2.46839789013799349992,0.61709947253449837498,0.00000000000000000000,107.99240769353721562150,59.24154936331184399808,4.93679578027598699984,21.59848153870744312430,22.21558101124194149928,29.00367520912142362406,12.95908892322446587458,56.15605200063935212318,9.87359156055197399968,4.31969630774148862486,6.17099472534498374980,15.42748681336245937450,29.00367520912142362406,4.93679578027598699984
India,Bihar,Khagaria,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6406,8002,10270,12142,7720,908,182,45630,42320,462,721,0,22377,4240,16692,332,1143,1119,2057,7781,30598
India,Assam,Kokrajhar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,509,291,119,53,7,0,0,979,760,35,131,53,182,128,441,227,42,56,161,248,43
India,Assam,Goalpara,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,5632,3691,2732,2060,134,0,1,14250,12897,55,1214,83,5099,2349,5956,827,464,418,454,2074,1659
India,Bihar,Gaya,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8291,27704,30694,44774,22131,2389,183,136166,116616,1046,1690,0,92824,7466,29872,2226,1414,1918,1814,9242,95055
